pr_id,repo,pr_url,created_at,merged_at,tool_evidence,manifest_file,package_name,old_spec,new_spec,change_type,label_primary,label_secondary,primary_grade,label_confidence,evidence_source,evidence_timestamp,labeler,adjudication_needed,adjudication_result,change_id,notes
kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,https://github.com/kaggwe-marvin/Django-Inventory-tracker/pull/1,2026-06-09T14:15:14Z,,aidev_agent:copilot,requirements.txt,Django,,">=6.0.6,<7.0.0",add,NONE,NONE,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.448972+00:00,A+B,False,,kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::django::add,
kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,https://github.com/kaggwe-marvin/Django-Inventory-tracker/pull/1,2026-06-09T14:15:14Z,,aidev_agent:copilot,requirements.txt,djangorestframework,,">=3.17.1,<4.0.0",add,NONE,NONE,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.454082+00:00,A+B,False,,kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::djangorestframework::add,
kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,https://github.com/kaggwe-marvin/Django-Inventory-tracker/pull/1,2026-06-09T14:15:14Z,,aidev_agent:copilot,requirements.txt,django-redis,,">=7.0.0,<8.0.0",add,NONE,NONE,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.452871+00:00,A+B,False,,kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::django-redis::add,
kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,https://github.com/kaggwe-marvin/Django-Inventory-tracker/pull/1,2026-06-09T14:15:14Z,,aidev_agent:copilot,requirements.txt,django-environ,,">=0.13.0,<0.14.0",add,NONE,NONE,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.456269+00:00,A+B,False,,kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::django-environ::add,
kaggwe-marvin/Django-Inventory-tracker#1,kaggwe-marvin/Django-Inventory-tracker,https://github.com/kaggwe-marvin/Django-Inventory-tracker/pull/1,2026-06-09T14:15:14Z,,aidev_agent:copilot,requirements.txt,python-dotenv,,">=1.2.2,<2.0.0",add,NONE,NONE,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.463600+00:00,A+B,False,,kaggwe-marvin/Django-Inventory-tracker#1::requirements.txt::python-dotenv::add,
Juandb21/club1997#1,Juandb21/club1997,https://github.com/Juandb21/club1997/pull/1,2026-05-05T15:46:33Z,,aidev_agent:copilot,requirements.txt,Django,,>=5.0,add,NONE,NONE,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.635750+00:00,A+B,False,,Juandb21/club1997#1::requirements.txt::django::add,
Juandb21/club1997#1,Juandb21/club1997,https://github.com/Juandb21/club1997/pull/1,2026-05-05T15:46:33Z,,aidev_agent:copilot,requirements.txt,Pillow,,>=10.0,add,NONE,NONE,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.742979+00:00,A+B,False,,Juandb21/club1997#1::requirements.txt::pillow::add,
aiporre/hippo-spharm#1,aiporre/hippo-spharm,https://github.com/aiporre/hippo-spharm/pull/1,2026-02-25T15:43:59Z,,aidev_agent:copilot,requirements.txt,numpy,,,add,NONE,NONE,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.629642+00:00,A+B,False,,aiporre/hippo-spharm#1::requirements.txt::numpy::add,
aiporre/hippo-spharm#1,aiporre/hippo-spharm,https://github.com/aiporre/hippo-spharm/pull/1,2026-02-25T15:43:59Z,,aidev_agent:copilot,requirements.txt,pandas,,,add,NONE,S4_LICENSE_POLICY_CONFLICT,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.705723+00:00,A+B,False,,aiporre/hippo-spharm#1::requirements.txt::pandas::add,
aiporre/hippo-spharm#1,aiporre/hippo-spharm,https://github.com/aiporre/hippo-spharm/pull/1,2026-02-25T15:43:59Z,,aidev_agent:copilot,requirements.txt,scipy,,,add,NONE,S4_LICENSE_POLICY_CONFLICT,,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),2026-06-13T19:18:48.761565+00:00,A+B,False,,aiporre/hippo-spharm#1::requirements.txt::scipy::add,
