url,agent,created_at,n_deps,guard_category,category,has_runtime_add,has_runtime_mod,has_dev_add,has_optional_add,has_metadata_only
https://github.com/vk4s/aider/pull/9,aider,2025-08-14,9,gap_only,mixed,True,True,False,False,False
https://github.com/akepo225/offline-coding-agent/pull/14,aider,2025-10-14,12,true_neg,mixed,True,True,False,False,False
https://github.com/Quitcode-Dev/project-automatron-vmark/pull/1,aider,2026-05-12,1,gap_only,new_runtime_dep,True,False,False,False,False
https://github.com/jnavarro7/netlist-parser/pull/1,aider,2026-05-05,1,gap_only,new_runtime_dep,True,False,False,False,False
https://github.com/izzoa/unison-mcp-server/pull/4,aider,2026-05-20,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/techempower-org/mempalace/pull/156,aider,2026-05-23,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/Doomlead/aider-plus/pull/167,aider,2026-05-20,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/AmberCowled/probably-fine/pull/1,aider,2026-05-22,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/squalliram/flask/pull/1,devin,2026-05-23,1,gap_only,mixed,True,True,False,False,False
https://github.com/aaronsmothhh-create/AiVideoMonitoring/pull/1,devin,2026-05-23,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/deblasioluca/sap-ai-consultant-v2/pull/30,devin,2026-05-23,1,gap_only,new_runtime_dep,True,False,False,False,False
https://github.com/botanarede/beddel/pull/3,devin,2026-05-10,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/leprachuan/Wee-Orchestrator/pull/152,devin,2026-04-13,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/hikhikhook-code/sn-image-screener/pull/2,devin,2026-05-02,2,gap_only,new_runtime_dep,True,False,False,False,True
https://github.com/saml7n/parbaked/pull/197,devin,2026-05-18,2,gap_only,mixed,True,True,False,True,True
https://github.com/0neye/Voidwright/pull/6,devin,2026-03-13,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/saml7n/parbaked/pull/160,devin,2026-05-18,1,true_neg,existing_dep_update,False,True,False,False,False
https://github.com/fproldan/erpnext/pull/37,devin,2021-12-06,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/FOSSBots/MirahezeBots/pull/243,devin,2020-08-01,13,gap_only,mixed,True,True,False,False,True
https://github.com/GatorCogitate/cogitate_tool/pull/62,devin,2020-03-03,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/yourplane/dev/pull/80,cursor,2026-05-02,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/yu-iskw/sqlfluff-complexity/pull/22,cursor,2026-05-03,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/yourplane/dev/pull/79,cursor,2026-05-02,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/getbourdon/bourdon/pull/21,cursor,2026-05-03,0,true_neg,metadata_config_only,False,False,False,False,True
