url,agent,created_at,n_deps,guard_category,category,has_runtime_add,has_runtime_mod,has_dev_add,has_optional_add,has_metadata_only
https://github.com/Quitcode-Dev/project-automatron-vmark/pull/1,aider,2026-05-12,1,gap_only,new_runtime_dep,True,False,False,False,False
https://github.com/jnavarro7/netlist-parser/pull/1,aider,2026-05-05,1,gap_only,new_runtime_dep,True,False,False,False,False
https://github.com/lnlockly/agentflow-computer-mcp/pull/123,aider,2026-05-28,1,gap_only,new_runtime_dep,True,False,False,False,True
https://github.com/izzoa/unison-mcp-server/pull/4,aider,2026-05-20,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/sys1own/build-tool/pull/1,devin,2026-06-02,0,true_neg,new_runtime_dep,True,False,False,False,False
https://github.com/vk4s/aider/pull/9,aider,2025-08-14,24,gap_only,mixed,True,True,False,False,False
https://github.com/akepo225/offline-coding-agent/pull/14,aider,2025-10-14,12,true_neg,mixed,True,True,False,False,False
https://github.com/RYSESEO/DEVIN/pull/1,devin,2026-06-02,10,gap_only,new_runtime_dep,True,False,False,True,True
https://github.com/mohamedredachakir/CcLIVE/pull/5,devin,2026-06-02,2,gap_only,optional_dep_addition,False,False,False,True,True
https://github.com/mohamedredachakir/CcLIVE/pull/2,devin,2026-06-02,7,gap_only,new_runtime_dep,True,False,False,True,True
https://github.com/Hanyang991/Book-Tik-Factory/pull/4,devin,2026-06-02,2,gap_only,new_runtime_dep,True,False,False,False,True
https://github.com/hbro319-lab/nexa/pull/2,devin,2026-06-02,1,gap_only,mixed,True,True,False,False,False
https://github.com/Steel-SecAdv-LLC/AMA-Cryptography/pull/341,devin,2026-06-02,1,gap_only,mixed,True,True,False,False,False
https://github.com/crewAIInc/crewAI/pull/6003,devin,2026-06-02,1,gap_only,mixed,True,True,False,False,True
https://github.com/XingLingQAQ/QQBOT-HF/pull/10,devin,2026-06-02,1,gap_only,new_runtime_dep,True,False,False,False,False
https://github.com/wangfamaimar/MCP-STEM/pull/6,devin,2026-06-02,2,gap_only,mixed,True,True,False,False,False
https://github.com/midnghtsapphire/bar-chart-race-engine/pull/2,devin,2026-06-01,4,gap_only,new_runtime_dep,True,False,False,False,False
https://github.com/katarsis-dev/hypr-agent/pull/11,devin,2026-06-01,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/wangfamaimar/MCP-STEM/pull/5,devin,2026-06-01,5,gap_only,optional_dep_addition,False,False,False,True,True
https://github.com/katarsis-dev/hypr-agent/pull/6,devin,2026-06-01,1,gap_only,mixed,True,True,False,False,False
https://github.com/OgabekAI/Sparkle-Step-bot/pull/2,devin,2026-06-01,3,true_neg,existing_dep_update,False,True,False,False,False
https://github.com/botanarede/beddel/pull/3,devin,2026-05-10,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/leprachuan/Wee-Orchestrator/pull/152,devin,2026-04-13,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/hikhikhook-code/sn-image-screener/pull/2,devin,2026-05-02,2,gap_only,new_runtime_dep,True,False,False,False,True
https://github.com/0neye/Voidwright/pull/6,devin,2026-03-13,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/fproldan/erpnext/pull/37,devin,2021-12-06,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/FOSSBots/MirahezeBots/pull/243,devin,2020-08-01,13,gap_only,mixed,True,True,False,False,True
https://github.com/GatorCogitate/cogitate_tool/pull/62,devin,2020-03-03,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/tarasavage/marvelous-guacamole/pull/1,cursor,2026-05-24,5,gap_only,new_runtime_dep,True,False,False,False,False
https://github.com/yourplane/dev/pull/80,cursor,2026-05-02,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/yu-iskw/sqlfluff-complexity/pull/22,cursor,2026-05-03,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/shadownet-protocol/shadownet/pull/15,cursor,2026-05-21,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/yourplane/dev/pull/79,cursor,2026-05-02,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/atiyil/mapquest-geocoder/pull/2,cursor,2026-05-28,1,gap_only,new_runtime_dep,True,False,False,False,True
https://github.com/mycelium-io/mycelium/pull/332,cursor,2026-05-27,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/stevencarpenter/hippo/pull/180,cursor,2026-05-25,0,true_neg,metadata_config_only,False,False,False,False,True
https://github.com/IamOw1/4.1.2_dashboard_project-commit-changes/pull/18,cursor,2026-05-30,0,true_neg,new_runtime_dep,True,False,False,False,False
https://github.com/kalanyuz/approve-watch/pull/1,cursor,2026-05-08,5,gap_only,new_runtime_dep,True,False,False,True,True
